type,symbol,date,shares,limit_price,fill_price,fees
buy,sh603787,2023-02-21 16:00:00,49800,,20.06,0.0
sell,sh603787,2023-02-22 16:00:00,49800,,20.33,0.0
buy,sh603787,2023-03-22 16:00:00,53000,,18.8,0.0
sell,sh603787,2023-03-23 16:00:00,53000,,18.88,0.0
buy,sh603787,2023-05-09 16:00:00,57200,,17.74,0.0
sell,sh603787,2023-05-10 16:00:00,57200,,17.96,0.0
buy,sh603787,2023-05-28 16:00:00,57556,,17.9,0.0
sell,sh603787,2023-05-29 16:00:00,57556,,17.86,0.0
buy,sh603787,2023-06-05 16:00:00,57800,,17.42,0.0
sell,sh603787,2023-06-06 16:00:00,57800,,16.99,0.0
buy,sh603787,2023-06-25 16:00:00,61730,,16.25,0.0
sell,sh603787,2023-06-26 16:00:00,61730,,16.23,0.0
buy,sh603787,2023-09-04 16:00:00,70356,,14.24,0.0
sell,sh603787,2023-09-05 16:00:00,70356,,14.21,0.0
buy,sh603787,2023-10-26 16:00:00,72816,,13.73,0.0
sell,sh603787,2023-10-29 16:00:00,72816,,14.12,0.0
buy,sh603787,2023-11-19 16:00:00,72400,,14.19,0.0
sell,sh603787,2023-12-04 16:00:00,72400,,14.04,0.0
buy,sh603787,2023-12-21 16:00:00,81400,,12.38,0.0
sell,sh603787,2023-12-24 16:00:00,81400,,12.18,0.0
buy,sh603787,2023-12-28 16:00:00,81054,,12.35,0.0
sell,sh603787,2024-01-01 16:00:00,81054,,12.76,0.0
buy,sh603787,2024-01-11 16:00:00,82800,,12.44,0.0
sell,sh603787,2024-01-14 16:00:00,82800,,12.29,0.0
buy,sh603787,2024-02-20 16:00:00,111311,,9.18,0.0
sell,sh603787,2024-02-21 16:00:00,111311,,9.34,0.0
buy,sh603787,2024-04-01 16:00:00,87600,,11.76,0.0
sell,sh603787,2024-04-08 16:00:00,87600,,11.34,0.0
buy,sh603787,2024-04-29 16:00:00,91500,,10.86,0.0
sell,sh603787,2024-05-05 16:00:00,91500,,11.14,0.0
buy,sh603787,2024-05-06 16:00:00,90375,,11.38,0.0
sell,sh603787,2024-05-07 16:00:00,90375,,11.16,0.0
buy,sh603787,2024-06-02 16:00:00,81500,,12.0,0.0
sell,sh603787,2024-06-03 16:00:00,81500,,11.89,0.0
buy,sh603787,2024-06-17 16:00:00,87151,,11.47,0.0
sell,sh603787,2024-06-18 16:00:00,87151,,10.98,0.0
buy,sh603787,2024-06-23 16:00:00,85900,,10.57,0.0
sell,sh603787,2024-06-24 16:00:00,85900,,10.57,0.0
buy,sh603787,2024-06-26 16:00:00,88600,,10.72,0.0
sell,sh603787,2024-06-27 16:00:00,88600,,10.62,0.0
buy,sh603787,2024-07-14 16:00:00,98200,,9.47,0.0
sell,sh603787,2024-07-15 16:00:00,98200,,9.28,0.0
buy,sh603787,2024-08-26 16:00:00,100476,,9.25,0.0
sell,sh603787,2024-08-27 16:00:00,100476,,9.26,0.0
buy,sh603787,2024-09-26 16:00:00,89205,,10.43,0.0
sell,sh603787,2024-09-29 16:00:00,89205,,11.1,0.0
buy,sh603787,2024-10-28 16:00:00,88000,,11.1,0.0
sell,sh603787,2024-10-29 16:00:00,88000,,10.69,0.0
buy,sh603787,2024-11-07 16:00:00,87371,,10.92,0.0
sell,sh603787,2024-11-10 16:00:00,87371,,11.0,0.0
buy,sh603787,2024-11-20 16:00:00,86273,,11.14,0.0
sell,sh603787,2024-11-21 16:00:00,86273,,10.96,0.0
buy,sh603787,2024-12-02 16:00:00,84100,,11.21,0.0
sell,sh603787,2024-12-22 16:00:00,84100,,11.28,0.0
buy,sh603787,2025-01-14 16:00:00,93100,,10.2,0.0
sell,sh603787,2025-01-15 16:00:00,93100,,10.25,0.0
buy,sh603787,2025-02-19 16:00:00,91300,,10.4,0.0
sell,sh603787,2025-02-20 16:00:00,91300,,10.38,0.0
buy,sh603787,2025-02-26 16:00:00,91000,,10.46,0.0
sell,sh603787,2025-03-25 16:00:00,91000,,11.12,0.0
buy,sh603787,2025-04-15 16:00:00,102500,,9.68,0.0
sell,sh603787,2025-04-16 16:00:00,102500,,9.69,0.0
buy,sh603787,2025-05-20 16:00:00,86700,,11.61,0.0
sell,sh603787,2025-06-08 16:00:00,86700,,11.6,0.0
buy,sh603787,2025-06-10 16:00:00,72205,,14.05,0.0
sell,sh603787,2025-06-16 16:00:00,72205,,12.46,0.0
buy,sh603787,2025-07-03 16:00:00,71460,,12.59,0.0
sell,sh603787,2025-07-06 16:00:00,71460,,12.48,0.0
buy,sh603787,2025-07-28 16:00:00,69600,,12.66,0.0
sell,sh603787,2025-07-29 16:00:00,69600,,12.5,0.0
buy,sh603787,2025-08-05 16:00:00,68300,,12.87,0.0
sell,sh603787,2025-08-28 16:00:00,68300,,12.91,0.0
buy,sh603787,2025-09-10 16:00:00,65400,,13.2,0.0
sell,sh603787,2025-09-11 16:00:00,65400,,12.86,0.0
buy,sh603787,2025-10-12 16:00:00,70500,,11.92,0.0
sell,sh603787,2025-10-13 16:00:00,70500,,12.16,0.0
buy,sh603787,2025-12-09 16:00:00,60800,,14.22,0.0
sell,sh603787,2025-12-10 16:00:00,60800,,14.05,0.0
buy,sh603787,2025-12-24 16:00:00,65700,,13.11,0.0
sell,sh603787,2025-12-25 16:00:00,65700,,13.1,0.0
buy,sh603787,2026-02-08 16:00:00,64325,,13.48,0.0
sell,sh603787,2026-02-09 16:00:00,64325,,13.54,0.0
buy,sh603787,2026-03-09 16:00:00,63528,,13.71,0.0
sell,sh603787,2026-03-10 16:00:00,63528,,13.88,0.0
