type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,sh603787,2023-02-21 16:00:00,2023-02-22 16:00:00,20.06,20.33,49800,13446.0,1.35,13446.0,1,13446.0,,-0.16,0.27
long,sh603787,2023-03-21 16:00:00,2023-03-22 16:00:00,19.22,18.8,52300,-21966.0,-2.19,-8520.0,1,-21966.0,,-0.42,0.27
long,sh603787,2023-04-13 16:00:00,2023-04-16 16:00:00,19.16,18.73,50300,-21629.0,-2.24,-30149.0,1,-21629.0,,-0.43,0.44
long,sh603787,2023-05-03 16:00:00,2023-05-04 16:00:00,17.89,17.62,54100,-14607.0,-1.51,-44756.0,1,-14607.0,,-0.27,0.19
long,sh603787,2023-05-08 16:00:00,2023-05-09 16:00:00,17.64,17.74,53900,5390.0,0.57,-39366.0,1,5390.0,,-0.31,0.32
long,sh603787,2023-05-28 16:00:00,2023-05-29 16:00:00,17.9,17.86,53666,-2146.64,-0.22,-41512.64,1,-2146.64,,-0.17,0.17
long,sh603787,2023-06-05 16:00:00,2023-06-06 16:00:00,17.42,16.99,53900,-23177.0,-2.47,-64689.64,1,-23177.0,,-0.43,0.37
long,sh603787,2023-06-18 16:00:00,2023-06-19 16:00:00,16.18,16.23,57300,2865.0,0.31,-61824.64,1,2865.0,,-0.18,0.17
long,sh603787,2023-06-20 16:00:00,2023-06-25 16:00:00,16.18,16.25,57400,4018.0,0.43,-57806.64,1,4018.0,,-0.21,0.2
long,sh603787,2023-07-11 16:00:00,2023-07-18 16:00:00,17.63,17.3,53400,-17622.0,-1.87,-75428.64,5,-3524.4,,-0.58,0.22
long,sh603787,2023-07-25 16:00:00,2023-07-26 16:00:00,17.03,17.05,53400,1068.0,0.12,-74360.64,1,1068.0,,-0.25,0.25
long,sh603787,2023-07-30 16:00:00,2023-07-31 16:00:00,17.27,17.2,53598,-3751.86,-0.41,-78112.5,1,-3751.86,,-0.19,0.19
long,sh603787,2023-09-03 16:00:00,2023-09-04 16:00:00,14.08,14.24,65474,10475.84,1.14,-67636.66,1,10475.84,,-0.14,0.16
long,sh603787,2023-09-18 16:00:00,2023-09-19 16:00:00,13.95,13.83,66000,-7920.0,-0.86,-75556.66,1,-7920.0,,-0.16,0.16
long,sh603787,2023-09-24 16:00:00,2023-09-25 16:00:00,13.78,13.68,66400,-6640.0,-0.73,-82196.66,1,-6640.0,,-0.22,0.21
long,sh603787,2023-10-25 16:00:00,2023-10-26 16:00:00,13.3,13.73,67900,29197.0,3.23,-52999.66,1,29197.0,,-0.25,0.43
long,sh603787,2023-11-15 16:00:00,2023-11-16 16:00:00,14.06,14.08,67100,1342.0,0.14,-51657.66,1,1342.0,,-0.12,0.12
long,sh603787,2023-11-19 16:00:00,2023-12-04 16:00:00,14.19,14.04,66700,-10005.0,-1.06,-61662.66,11,-909.55,,-0.29,0.28
long,sh603787,2023-12-19 16:00:00,2023-12-20 16:00:00,12.6,12.32,74471,-20851.88,-2.22,-82514.54,1,-20851.88,,-0.28,0.18
long,sh603787,2023-12-28 16:00:00,2024-01-01 16:00:00,12.35,12.76,74290,30458.9,3.32,-52055.64,1,30458.9,,-0.19,0.41
long,sh603787,2024-01-25 16:00:00,2024-01-28 16:00:00,11.36,11.04,83445,-26702.4,-2.82,-78758.04,1,-26702.4,,-0.32,0.14
long,sh603787,2024-02-19 16:00:00,2024-02-20 16:00:00,8.8,9.18,103800,39444.0,4.32,-39314.04,1,39444.0,,-0.16,0.38
long,sh603787,2024-03-21 16:00:00,2024-03-25 16:00:00,11.16,10.48,85000,-57800.0,-6.09,-97114.04,2,-28900.0,,-0.68,0.15
long,sh603787,2024-04-01 16:00:00,2024-04-08 16:00:00,11.76,11.34,76100,-31962.0,-3.57,-129076.04,3,-10654.0,,-0.68,0.39
long,sh603787,2024-04-09 16:00:00,2024-04-16 16:00:00,11.63,10.63,74885,-74885.0,-8.6,-203961.04,5,-14977.0,,-1.41,0.96
long,sh603787,2024-04-25 16:00:00,2024-04-28 16:00:00,10.59,10.81,71700,15774.0,2.08,-188187.04,1,15774.0,,-0.2,0.22
long,sh603787,2024-05-06 16:00:00,2024-05-07 16:00:00,11.38,11.16,71336,-15693.92,-1.93,-203880.96,1,-15693.92,,-0.23,0.22
long,sh603787,2024-05-29 16:00:00,2024-05-30 16:00:00,12.12,12.0,64400,-7728.0,-0.99,-211608.96,1,-7728.0,,-0.22,0.23
long,sh603787,2024-06-02 16:00:00,2024-06-03 16:00:00,12.0,11.89,63700,-7007.0,-0.92,-218615.96,1,-7007.0,,-0.39,0.39
