type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,sh000001,2020-07-08 16:00:00,2020-07-20 16:00:00,3425.3,3318.62,200,-21336.0,-3.11,-21336.0,8,-2667.0,,-244.03,33.49
long,sh000001,2020-07-26 16:00:00,2020-08-30 16:00:00,3198.32,3419.1,300,66234.0,6.9,44898.0,25,2649.36,,-23.66,258.4
long,sh000001,2020-09-07 16:00:00,2020-09-14 16:00:00,3300.42,3280.72,300,-5910.0,-0.6,38988.0,5,-1182.0,,-79.88,23.97
long,sh000001,2020-10-25 16:00:00,2020-11-22 16:00:00,3245.52,3404.82,300,47790.0,4.91,86778.0,20,2389.5,,-35.61,159.3
long,sh000001,2020-12-06 16:00:00,2020-12-14 16:00:00,3431.94,3360.99,300,-21285.0,-2.07,65493.0,6,-3547.5,,-106.77,17.64
long,sh000001,2021-04-21 16:00:00,2021-05-17 16:00:00,3470.84,3519.94,300,14730.0,1.41,80223.0,15,982.0,,-86.14,59.67
long,sh000001,2021-06-16 16:00:00,2021-06-22 16:00:00,3520.77,3563.66,300,12867.0,1.22,93090.0,4,3216.75,,-17.59,42.89
long,sh000001,2021-08-15 16:00:00,2021-09-16 16:00:00,3524.38,3595.12,300,21222.0,2.01,114312.0,24,884.25,,-129.41,199.47
long,sh000001,2021-09-28 16:00:00,2021-11-01 16:00:00,3545.78,3518.36,300,-8226.0,-0.77,106086.0,19,-432.95,,-42.98,79.24
long,sh000001,2021-11-28 16:00:00,2021-12-22 16:00:00,3545.02,3630.8,300,25734.0,2.42,131820.0,18,1429.67,,-18.66,163.92
long,sh000001,2021-12-28 16:00:00,2022-02-07 16:00:00,3613.62,3421.82,300,-57540.0,-5.31,74280.0,23,-2501.74,,-257.06,38.27
long,sh000001,2022-02-13 16:00:00,2022-03-13 16:00:00,3436.36,3260.66,300,-52710.0,-5.11,21570.0,20,-2635.5,,-288.68,63.93
long,sh000001,2022-04-20 16:00:00,2022-04-27 16:00:00,3115.29,2964.15,300,-45342.0,-4.85,-23772.0,5,-9068.4,,-251.64,45.61
long,sh000001,2022-06-08 16:00:00,2022-06-19 16:00:00,3247.02,3313.42,200,13280.0,2.04,-10492.0,7,1897.14,,-51.2,111.53
long,sh000001,2022-06-29 16:00:00,2022-07-20 16:00:00,3387.97,3286.27,200,-20340.0,-3.0,-30832.0,15,-1356.0,,-161.74,36.87
long,sh000001,2022-08-30 16:00:00,2022-11-15 16:00:00,3208.2,3130.55,300,-23295.0,-2.42,-54127.0,49,-475.41,,-323.11,69.97
long,sh000001,2022-11-24 16:00:00,2022-12-14 16:00:00,3094.7,3168.77,300,22221.0,2.39,-31906.0,14,1587.21,,-60.0,131.38
long,sh000001,2022-12-20 16:00:00,2022-12-27 16:00:00,3073.18,3089.04,300,4758.0,0.52,-27148.0,5,951.6,,-41.64,24.9
long,sh000001,2023-02-14 16:00:00,2023-04-02 16:00:00,3285.38,3288.08,200,540.0,0.08,-26608.0,33,16.36,,-68.39,57.48
long,sh000001,2023-06-15 16:00:00,2023-07-25 16:00:00,3266.02,3221.38,200,-8928.0,-1.37,-35536.0,26,-343.38,,-121.77,10.53
long,sh000001,2023-08-31 16:00:00,2023-12-11 16:00:00,3133.52,2992.1,300,-42426.0,-4.51,-77962.0,66,-642.82,,-210.01,43.54
long,sh000001,2023-12-26 16:00:00,2024-01-25 16:00:00,2904.06,2907.4,300,1002.0,0.12,-76960.0,21,47.71,,-179.9,72.21
long,sh000001,2024-02-01 16:00:00,2024-02-07 16:00:00,2729.0,2847.68,300,35604.0,4.35,-41356.0,4,8901.0,,-93.91,118.68
long,sh000001,2024-03-21 16:00:00,2024-04-01 16:00:00,3050.48,3074.76,300,7284.0,0.8,-34072.0,7,1040.57,,-66.36,28.01
long,sh000001,2024-04-08 16:00:00,2024-05-06 16:00:00,3042.4,3142.46,300,30018.0,3.29,-4054.0,17,1765.76,,-46.86,100.06
long,sh000001,2024-06-17 16:00:00,2024-08-25 16:00:00,3022.25,2852.52,300,-50919.0,-5.62,-54973.0,49,-1039.16,,-182.91,9.73
long,sh000001,2024-08-29 16:00:00,2024-09-24 16:00:00,2842.48,2920.75,300,23481.0,2.75,-31492.0,16,1467.56,,-152.78,78.27
long,sh000001,2024-10-09 16:00:00,2024-11-07 16:00:00,3303.96,3476.5,200,34508.0,5.22,3016.0,21,1643.24,,-151.14,172.54
long,sh000001,2024-11-12 16:00:00,2024-11-21 16:00:00,3423.42,3319.6,200,-20764.0,-3.03,-17748.0,7,-2966.29,,-139.29,18.88
long,sh000001,2025-01-02 16:00:00,2025-01-08 16:00:00,3239.68,3217.44,300,-6672.0,-0.69,-24420.0,4,-1668.0,,-63.96,33.89
long,sh000001,2025-01-19 16:00:00,2025-03-06 16:00:00,3253.19,3377.44,299,37150.75,3.82,12730.75,28,1326.81,,-49.81,135.59
long,sh000001,2025-08-10 16:00:00,2025-11-26 16:00:00,3643.24,3879.86,200,47324.0,6.49,60054.75,72,657.28,,-13.61,390.84
long,sh000001,2026-01-07 16:00:00,2026-01-19 16:00:00,4080.5,4104.61,200,4822.0,0.59,64876.75,8,602.75,,-13.38,110.37
